session_duration,avg_packet_size,total_packets,dns_queries,http_ratio,https_ratio,timestamp
188.87,1116.7,91,4,0.32,0.68,2025-03-27T18:49:15.432808+00:00
138.26,1077.23,45,3,0.19,0.81,2025-03-27T18:49:25.932581+00:00
149.0,639.45,85,6,0.2,0.8,2025-03-27T18:49:36.182770+00:00
146.84,553.92,98,4,0.54,0.46,2025-03-27T18:50:12.674381+00:00
132.82,709.66,90,2,0.56,0.44,2025-03-27T18:50:26.616233+00:00
188.21,1067.81,76,4,0.37,0.63,2025-03-27T18:50:37.733097+00:00
151.42,1076.55,90,9,0.41,0.59,2025-03-27T18:50:55.266227+00:00
138.67,848.32,69,4,0.31,0.69,2025-03-27T18:51:06.099924+00:00
166.25,1266.24,70,6,0.78,0.22,2025-03-27T18:51:18.666226+00:00
88.94,403.18,80,7,0.4,0.6,2025-03-27T18:51:57.450154+00:00
120.04,1350.1,52,5,0.53,0.47,2025-03-27T18:52:22.383405+00:00
62.67,1156.82,84,5,0.76,0.24,2025-03-27T18:52:31.166329+00:00
